Disease1,Disease2,HPO-SIM
157950,606798,0.3736422267893772
157950,115300,0.3442220100551935
157950,270960,0.35553893029633343
157950,606842,0.3225665191080817
157950,246400,0.3433879246783613
157950,148100,0.4128265893615839
157950,144010,0.3908205826934016
157950,109200,0.2772036871539105
157950,168600,0.2336163334550281
157950,604827,0.28138321832706176
157950,125600,0.4261625582991205
157950,176800,0.5283847026818498
157950,154276,0.2348299523806852
157950,176807,0.4397607606299088
157950,256700,0.3162315519201832
157950,103100,0.334829596665404
157950,146110,0.2543016854966015
157950,246470,0.2376735658939073
157950,119500,0.4823455373611654
157950,226000,0.3772014527114652
157950,174800,0.3178324690882909
157950,600803,0.2551970508831401
157950,600807,0.43855580326666976
157950,600808,0.4417718211467073
157950,144110,0.5229208112190601
157950,125700,0.4561588075029053
157950,127750,0.2448805458184597
157950,181000,0.30667642263005657
157950,240400,0.3575965275201342
157950,109350,0.2943697534218295
157950,254770,0.2993465316295879
157950,166710,0.4988655553081981
157950,107320,0.2931236454181708
157950,146255,0.21171300907692345
157950,254800,0.2101897011815983
157950,605021,0.20241505264659768
157950,226150,0.2276383302634146
157950,277350,0.3441070190258749
157950,166760,0.250266550175665
157950,260970,0.21578518589792267
157950,605055,0.2568673872174132
157950,205700,0.2909654366134275
157950,273300,0.2143606830154277
157950,170900,0.33423629784987385
157950,125850,0.33434591943845404
157950,125851,0.4131415037276421
157950,125852,0.33561604333097833
157950,125853,0.2655548666996029
157950,191390,0.1957104197364792
157950,250790,0.19852893531195004
157950,601004,0.4124056726725825
157950,203700,0.16501242841943442
157950,115645,0.4264029680825005
157950,277440,0.4201059265338957
157950,113610,0.2369397821065685
157950,601042,0.21091396874157012
157950,277460,0.32615550555822603
157950,220120,0.31200410848382104
157950,109543,0.4128265893615839
157950,259050,0.4755613897172192
157950,308205,0.3963772515505473
157950,160750,0.3347347629375678
157950,607225,0.26204780343426626
157950,132090,0.3407790292027446
157950,175100,0.3848862990501
157950,132100,0.3757926144417573
157950,136200,0.33434591943845404
157950,211980,0.4684452808793096
157950,140300,0.3357779005799309
157950,603165,0.31913732344367784
157950,107550,0.4103373655340963
157950,230450,0.225839245370388
157950,146500,0.22127118792749867
157950,150600,0.4191792097692035
157950,212050,0.21443924736697464
157950,218200,0.3608877662239935
157950,300125,0.17898317017427606
157950,128101,0.3567620798315984
157950,152700,0.2608437461128157
157950,308350,0.2940702651351944
157950,210050,0.23697846982613766
157950,107650,0.3706078904277247
157950,263300,0.2419701935381922
157950,212112,0.4634470058589506
157950,173200,0.35206707720180874
157950,189600,0.5479432768577404
157950,212130,0.2791675418756798
157950,150699,0.4394801495039079
157950,212140,0.16846858806707474
157950,310468,0.15471573259342747
157950,300232,0.4524292988640555
157950,132300,0.3005691267356575
157950,238800,0.3575965275201342
157950,181460,0.4252718504352668
157950,208085,0.3623171459013211
157950,607459,0.1637274170870358
157950,109800,0.4128265893615839
157950,126200,0.1655562827144409
157950,181500,0.2739486110004665
157950,144650,0.2556241748435263
157950,607499,0.2876106589251808
157950,607498,0.2463810794307099
157950,607501,0.24681278343625015
157950,249100,0.2281532325040519
157950,607508,0.2463810794307099
157950,601367,0.057475079611997125
157950,607516,0.2309785429408047
157950,134430,0.2946554527579242
157950,165150,0.4658938497500396
157950,171300,0.2096571885145666
157950,140600,0.4829851321959927
157950,191800,0.4275988491091032
157950,144700,0.2820216358236571
157950,607554,0.3108951822157248
157950,165199,0.29543501505751657
157950,540000,0.1341104992851176
157950,134500,0.3375494569016502
157950,103780,0.08430321244517204
157950,208230,0.3717563153203953
157950,189800,0.22271447932649424
157950,134510,0.33423629784987385
157950,134520,0.3308922478057056
157950,308600,0.2262070061974346
157950,206200,0.22235727200018687
157950,212350,0.17061293344837922
157950,273800,0.32795799785604385
157950,261515,0.4390029891013328
157950,607628,0.2962393829254337
157950,607631,0.2724684222587859
157950,179600,0.4600637480902441
157950,175505,0.3345169089758748
157950,230800,0.32307020960316124
157950,175510,0.3349169215598537
157950,167320,0.3679965888843009
157950,247200,0.5765036210602149
157950,146850,0.4252718504352668
157950,208300,0.27909649782771745
157950,259500,0.313221517892181
157950,601518,0.3432121535514051
157950,607681,0.27758840652896244
157950,607682,0.291423351613329
157950,607685,0.19500484523902598
157950,300491,0.374695500385534
157950,241100,0.21547764780427664
157950,300494,0.239618705205252
157950,267730,0.3447809883476121
157950,155100,0.32963617117619604
157950,267740,0.2834588630870766
157950,200170,0.2469547039380343
157950,192000,0.4124056726725825
157950,243200,0.24753248742556164
157950,601608,0.24679724675500525
157950,110100,0.3771964501607509
157950,194070,0.4547361416516701
157950,601626,0.43997070354061424
157950,187950,0.359114483222484
157950,138800,0.33385536540174765
157950,140850,0.3386988181940049
157950,601665,0.35833756059217314
157950,259660,0.4348671517361936
157950,312910,0.1769431789565062
